"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-06","10.29",,"0.00","0.0",,"50","62","44","  330","  330","19.9","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-07","8.72",,"0.00","0.0",,"52","62","46","  240","  290","18.1","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-08","7.16",,"0.07","0.0",,"46","48","42","   30","   30","14.1","17.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-09","14.09",,"0.64","0.0",,"44","48","41","  270","  280","33.1","44.1","    1",,"    1",,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-10","18.12",,"0.01","0.0",,"43","48","38","  340","  250","29.1","38.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-11","15.21",,"0.00","0.0",,"44","52","37","  290","  300","23.9","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-12","10.74",,"0.00","0.0",,"47","60","35","  190","  190","25.1","31.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-13","22.37",,"0.56","0.0",,"55","60","51","  190","  190","47.0","59.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-14","10.29",,"0.00","0.0",,"53","58","45","  290","  280","23.9","33.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-15","9.62",,"0.00","0.0",,"47","53","38","  270","  280","25.1","36.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-16","12.30",,"0.00","0.0",,"42","47","34","  290","  290","23.0","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-17","14.32",,"0.01","0.0",,"41","49","34","  250","  280","21.9","29.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-18","10.29",,"0.67","0.7",,"38","41","32","   30","   30","21.0","23.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-19","14.99",,"0.00","0.0",,"46","61","37","  220","  210","29.1","36.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-20","9.40",,"0.00","0.0",,"48","51","38","   80","   90","21.0","23.0",,,,,,,
